date,ndvi,ndti,rainfall,viirs_proxy,wefe_stress_index,category
2014-01-01,0.2166904641360779,-0.0750606755963276,0.0,3094.8761785732254,0.7065083364123546,Red
2014-01-02,0.2270938446644954,-0.1101095899243485,0.0,2169.638579164174,0.6803208160701868,Amber
2014-01-03,0.0860833100370799,-0.0214183391636366,0.0,4157.316574047687,0.8243159577188749,Red
2014-01-04,0.1550670665444786,-0.0628388591722544,0.0421891171869847,2862.891069052792,0.7695321890788844,Red
2014-01-05,0.1878725047253947,-0.1063608713985097,0.0,2640.299761415759,0.6893167549287242,Amber
2014-01-06,0.1965217348325539,-0.076820830317621,0.0,2760.1805536892343,0.7281260168530405,Red
2014-01-07,0.2258573350776821,-0.1011015870452351,0.0,2070.269308331757,0.6995724534161228,Amber
2014-01-08,0.2438057370691018,-0.0990456661765103,0.0,2645.4713755931693,0.6701957810902299,Amber
2014-01-09,0.0014041274530157,-0.0068516519895451,2.2368357035936883,7620.485349022941,0.7416408151315642,Red
2014-01-10,0.0027546370848568,-0.0025399822632352,1.9739351739028528,7115.72417323647,0.7699756092659454,Red
2014-01-11,0.2607897498969607,-0.112690563229539,0.0,1922.872844644884,0.6666765332744262,Amber
2014-01-12,0.0235256173278398,-0.0189964269280567,0.2140261579708125,6391.03387047229,0.7726796651121592,Red
2014-01-13,0.0345856180114662,-0.0115232888348396,0.0,5448.579667496001,0.8176145748274752,Red
2014-01-14,0.0620906785180698,-0.0142185608365441,1.581235186970479,4498.277377689633,0.824802985642051,Red
2014-01-15,0.2543410471038978,-0.0964452944280796,0.0,2453.0077625824792,0.6763007610198941,Amber
2014-01-16,0.2251892171475466,-0.0986003908275946,0.0153936938522501,2333.213424262752,0.6935934891256444,Amber
2014-01-17,0.2410634455889415,-0.0988793486194371,0.0693681637008983,2879.773347913718,0.6621514476051915,Amber
2014-01-18,0.2650266514997501,-0.1087243210382049,0.0,1859.147044520824,0.6709287744006226,Amber
2014-01-19,0.1261514871263852,-0.0492473874173891,0.103023576761536,3580.209926124025,0.778867766375976,Red
2014-01-20,0.2572930490650355,-0.1075441619788436,0.0,2044.5854693168867,0.6726085940402121,Amber
2014-01-21,0.2825808156046572,-0.1220763044382282,0.0,1789.9976856148428,0.6391274365009942,Amber
2014-01-22,0.1140855442686047,-0.036572904347734,0.1095271116236006,3041.833352715108,0.8276303888490368,Red
2014-01-23,0.123297093701219,-0.0725923125646204,0.0,3504.304693094367,0.7461236588935916,Red
2014-01-24,0.1976468642249547,-0.1032083760751125,0.0,3220.2038879259367,0.6659731062323828,Amber
2014-01-25,0.0209393523193053,-0.0072186377512483,5.369935708208866,6069.704142986779,0.7701805895721303,Red
2014-01-26,0.0195335962816239,-0.0087663614845114,18.31186227692645,6274.759049510933,0.6701412230222696,Amber
2014-01-27,0.0189944153686627,-0.002341210369147,12.735883694128974,4916.9349786997145,0.7738475393982608,Red
2014-01-28,0.023908413989616,-0.0048695246951975,0.2670949360032272,6186.610562030505,0.8031785363693235,Red
2014-01-29,0.2650923646599391,-0.1008450219261559,0.0,2335.104146020537,0.6676885025593484,Amber
2014-01-30,0.1052341681130567,-0.0601241476508579,0.0,4458.535559772238,0.7384077572797446,Red
2014-01-31,0.1615767906839561,-0.0433247774624708,0.0,3057.790687510235,0.7904109843772196,Red
2014-02-01,0.2949938347026505,-0.1147118828183849,0.0,1822.7170337943671,0.6444199738153377,Amber
2014-02-02,0.0199703212300395,-0.0100612850208902,29.04186820636485,5499.437000725614,0.623916973213744,Amber
