system:index,date,precipitation_sum,.geo
75,2014-03-17,12.438302905787554,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2014-03-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2014-03-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2014-03-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2014-03-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2014-03-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2014-03-23,6.416160755604302,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2014-03-24,17.217473335583264,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2014-03-25,0.11258784505351611,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2014-03-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2014-03-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2014-03-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2014-03-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2014-03-30,0.11360885457378177,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2014-03-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2014-04-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2014-04-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2014-04-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2014-04-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2014-04-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2014-04-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2014-04-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2014-04-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2014-04-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2014-04-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2014-04-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2014-04-12,0.5912121602592558,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2014-04-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2014-04-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2014-04-15,1.3775403270504478,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2014-04-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2014-04-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2014-04-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2014-04-19,12.652166371795776,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2014-04-20,4.051137551077831,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2014-04-21,0.11684965478438342,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2014-04-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2014-04-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2014-04-24,0.3292257529578961,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2014-04-25,0.4472772305423044,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2014-04-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2014-04-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2014-04-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2014-04-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2014-04-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2014-05-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2014-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2014-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2014-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2014-05-05,0.13739076621495153,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2014-05-06,6.765307107314505,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2014-05-07,8.639091198555391,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2014-05-08,9.293625203704178,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2014-05-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2014-05-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2014-05-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2014-05-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2014-05-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2014-05-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2014-05-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2014-05-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2014-05-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2014-05-18,0.41266382703716203,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2014-05-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2014-05-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2014-05-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2014-05-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2014-05-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2014-05-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2014-05-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2014-05-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2014-05-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2014-05-28,0.02836823397874547,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2014-05-29,0.3752352904161296,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2014-05-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2014-05-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2014-06-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2014-06-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2014-06-03,0.5905221624132613,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2014-06-04,0.991308268362441,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2014-06-05,1.4429394061138896,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2014-06-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2014-06-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2014-06-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2014-06-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2014-06-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2014-06-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2014-06-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2014-06-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2014-06-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2014-06-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2014-06-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2014-06-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2014-06-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2014-06-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2014-06-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2014-06-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2014-06-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2014-06-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2014-06-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2014-06-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2014-06-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2014-06-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2014-06-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2014-06-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2014-06-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2014-07-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2014-07-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2014-07-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2014-07-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2014-07-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2014-07-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2014-07-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2014-07-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2014-07-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2014-07-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2014-07-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2014-07-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2014-07-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2014-07-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2014-07-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2014-07-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2014-07-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2014-07-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2014-07-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2014-07-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2014-07-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2014-07-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2014-07-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2014-07-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2014-07-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2014-07-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2014-07-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2014-07-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2014-07-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2014-07-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2014-07-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2014-08-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2014-08-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2014-08-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2014-08-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2014-08-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2014-08-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2014-08-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2014-08-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2014-08-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2014-08-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2014-08-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2014-08-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2014-08-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2014-08-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2014-08-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2014-08-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2014-08-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2014-08-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2014-08-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2014-08-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2014-08-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2014-08-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2014-08-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2014-08-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2014-08-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2014-08-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2014-08-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2014-08-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2014-08-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2014-08-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2014-08-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2014-09-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2014-09-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2014-09-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2014-09-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2014-09-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2014-09-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2014-09-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2014-09-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2014-09-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2014-09-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2014-09-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2014-09-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2014-09-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2014-09-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2014-09-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2014-09-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2014-09-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2014-09-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2014-09-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2014-09-20,0.021244386637123615,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2014-09-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2014-09-22,0.4903667841579924,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2014-09-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2014-09-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2014-09-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2014-09-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2014-09-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2014-09-28,0.6011308354410236,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2014-09-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2014-09-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2014-10-01,2.088205703763204,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2014-10-02,0.13169535619144085,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2014-10-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2014-10-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2014-10-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2014-10-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2014-10-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2014-10-08,4.329537098089269,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2014-10-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
