system:index,date,sur_refl_b02_mean,.geo
71,2014-03-13,7387.357503650137,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2014-03-14,5580.5806501617735,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2014-03-15,4059.277492351382,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2014-03-16,2639.5431926886063,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2014-03-17,7121.648526411417,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2014-03-18,4871.617465985185,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2014-03-19,2791.390915086964,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2014-03-20,3015.679438881214,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2014-03-21,2176.90265458606,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2014-03-22,3217.146758567262,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2014-03-23,2345.564462821018,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2014-03-24,5324.514126591407,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2014-03-25,4969.823595984996,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2014-03-26,2107.7169549276937,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2014-03-27,2980.945031812035,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2014-03-28,2181.588335443558,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2014-03-29,3187.9971661092018,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2014-03-30,4695.158153122441,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2014-03-31,3241.071821078442,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2014-04-01,2562.0311700358347,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2014-04-02,2426.566474305662,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2014-04-03,2928.5102337040435,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2014-04-04,2275.751732241121,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2014-04-05,3171.8692172836545,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2014-04-06,2332.040069292155,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2014-04-07,3206.7439130125704,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2014-04-08,2874.8164319449875,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2014-04-09,3394.1104367180797,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2014-04-10,4570.464603496253,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2014-04-11,2201.194113858856,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2014-04-12,3999.093184804983,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2014-04-13,2847.1551788402203,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2014-04-14,3404.41101074266,"{""type"":""MultiPoint"",""coordinates"":[]}"
